index,mon,day,exp,stn,camera,geno,treat,juice,period,min,n_flies,,,,
1,3,30,1,2,0,B,pc,p,1,0,1,,,,
2,3,30,1,2,0,C,pc,p,1,0,0,,,,
3,3,30,1,2,0,F,pc,p,1,0,0,,,,
4,3,30,1,2,0,X,pc,p,1,0,1,,,,
5,3,30,1,2,0,Y,pc,p,1,0,1,,,,
6,3,30,1,2,0,Z,pc,p,1,0,0,,,,
7,3,30,1,2,0,B,pc,p,1,1,1,,,,
8,3,30,1,2,0,C,pc,p,1,1,0,,,,
9,3,30,1,2,0,F,pc,p,1,1,0,,,,
10,3,30,1,2,0,X,pc,p,1,1,1,,,,
11,3,30,1,2,0,Y,pc,p,1,1,1,,,,
12,3,30,1,2,0,Z,pc,p,1,1,1,,,,
13,3,30,1,2,0,B,pc,p,1,2,1,,,,
14,3,30,1,2,0,C,pc,p,1,2,0,,,,
15,3,30,1,2,0,F,pc,p,1,2,0,,,,
16,3,30,1,2,0,X,pc,p,1,2,1,,,,
17,3,30,1,2,0,Y,pc,p,1,2,1,,,,
18,3,30,1,2,0,Z,pc,p,1,2,0,,,,
19,3,30,1,2,0,B,pc,p,1,3,1,,,,
20,3,30,1,2,0,C,pc,p,1,3,0,,,,
21,3,30,1,2,0,F,pc,p,1,3,0,,,,
22,3,30,1,2,0,X,pc,p,1,3,1,,,,
23,3,30,1,2,0,Y,pc,p,1,3,1,,,,
24,3,30,1,2,0,Z,pc,p,1,3,0,,,,
25,3,30,1,2,0,B,pc,p,1,5,1,,,,
26,3,30,1,2,0,C,pc,p,1,5,0,,,,
27,3,30,1,2,0,F,pc,p,1,5,0,,,,
28,3,30,1,2,0,X,pc,p,1,5,4,,,,
29,3,30,1,2,0,Y,pc,p,1,5,0,,,,
30,3,30,1,2,0,Z,pc,p,1,5,0,,,,
31,3,30,1,2,0,B,pc,p,1,7,1,,,,
32,3,30,1,2,0,C,pc,p,1,7,0,,,,
33,3,30,1,2,0,F,pc,p,1,7,0,,,,
34,3,30,1,2,0,X,pc,p,1,7,4,,,,
35,3,30,1,2,0,Y,pc,p,1,7,0,,,,
36,3,30,1,2,0,Z,pc,p,1,7,0,,,,
37,3,30,1,2,0,B,pc,p,1,10,1,,,,
38,3,30,1,2,0,C,pc,p,1,10,0,,,,
39,3,30,1,2,0,F,pc,p,1,10,0,,,,
40,3,30,1,2,0,X,pc,p,1,10,4,,,,
41,3,30,1,2,0,Y,pc,p,1,10,0,,,,
42,3,30,1,2,0,Z,pc,p,1,10,0,,,,
43,3,30,1,2,0,B,pc,p,1,12,1,,,,
44,3,30,1,2,0,C,pc,p,1,12,0,,,,
45,3,30,1,2,0,F,pc,p,1,12,0,,,,
46,3,30,1,2,0,X,pc,p,1,12,4,,,,
47,3,30,1,2,0,Y,pc,p,1,12,0,,,,
48,3,30,1,2,0,Z,pc,p,1,12,0,,,,
49,3,30,1,2,0,B,pc,p,1,15,1,,,,
50,3,30,1,2,0,C,pc,p,1,15,0,,,,
51,3,30,1,2,0,F,pc,p,1,15,0,,,,
52,3,30,1,2,0,X,pc,p,1,15,4,,,,
53,3,30,1,2,0,Y,pc,p,1,15,0,,,,
54,3,30,1,2,0,Z,pc,p,1,15,1,,,,
55,3,30,1,2,0,B,pc,p,1,17,1,,,,
56,3,30,1,2,0,C,pc,p,1,17,1,,,,
57,3,30,1,2,0,F,pc,p,1,17,0,,,,
58,3,30,1,2,0,X,pc,p,1,17,3,,,,
59,3,30,1,2,0,Y,pc,p,1,17,0,,,,
60,3,30,1,2,0,Z,pc,p,1,17,0,,,,
61,3,30,1,2,0,B,pc,p,1,20,1,,,,
62,3,30,1,2,0,C,pc,p,1,20,1,,,,
63,3,30,1,2,0,F,pc,p,1,20,0,,,,
64,3,30,1,2,0,X,pc,p,1,20,4,,,,
65,3,30,1,2,0,Y,pc,p,1,20,0,,,,
66,3,30,1,2,0,Z,pc,p,1,20,0,,,,
67,3,30,1,2,0,B,pc,p,1,23,1,,,,
68,3,30,1,2,0,C,pc,p,1,23,1,,,,
69,3,30,1,2,0,F,pc,p,1,23,0,,,,
70,3,30,1,2,0,X,pc,p,1,23,3,,,,
71,3,30,1,2,0,Y,pc,p,1,23,0,,,,
72,3,30,1,2,0,Z,pc,p,1,23,0,,,,
73,3,30,1,2,0,B,pc,p,1,25,1,,,,
74,3,30,1,2,0,C,pc,p,1,25,2,,,,
